Row_ID,Customer ID,Customer Name,Gender,Race,location_id
1,CG-12520,Claire Gute,F,Caucasian,1
2,DV-13045,Darrin Van Huff,M,South Asian,2
3,SO-20335,Sean O'Donnell,M,Caucasian,3
4,BH-11710,Brosina Hoffman,M,African,4
5,AA-10480,Andrew Allen,M,Caucasian,5
6,IM-15070,Irene Maddox,F,Asian,6
7,HP-14815,Harold Pawlan,M,Caucasian,7
8,PK-19075,Pete Kriz,M,Caucasian,8
9,AG-10270,Alejandro Grove,M,Caucasian,9
10,ZD-21925,Zuschuss Donatelli,M,African,10
11,KB-16585,Ken Black,M,Caucasian,11
12,SF-20065,Sandra Flanagan,F,Caucasian,12
13,EB-13870,Emily Burns,F,Caucasian,13
14,EH-13945,Eric Hoffmann,M,Caucasian,14
15,TB-21520,Tracy Blumstein,F,Caucasian,12
16,MA-17560,Matt Abelman,M,Caucasian,15
17,GH-14485,Gene Hale,M,Caucasian,16
18,SN-20710,Steve Nguyen,M,Asian,17
19,LC-16930,Linda Cazamias,F,Caucasian,18
20,RA-19885,Ruben Ausman,M,Caucasian,14
21,ES-14080,Erin Smith,M,Caucasian,19
22,ON-18715,Odella Nelson,F,Caucasian,20
23,PO-18865,Patrick O'Donnell,M,Caucasian,21
24,LH-16900,Lena Hernandez,F,Caucasian,22
25,DP-13000,Darren Powers,M,South Asian,23
26,JM-15265,Janet Molinari,F,Caucasian,24
27,TB-21055,Ted Butterfield,M,Caucasian,25
28,KM-16720,Kunst Miller,M,Caucasian,26
29,PS-18970,Paul Stevenson,M,Caucasian,27
30,BS-11590,Brendan Sweed,F,South Asian,28
31,KD-16270,Karen Daniels,F,Caucasian,29
32,HM-14980,Henry MacAllister,M,African,30
33,TB-21520,Tracy Blumstein,M,Caucasian,31
34,JE-15745,Joel Eaton,M,Asian,32
35,KB-16600,Ken Brennan,M,Caucasian,17
36,JE-15745,Joel Eaton,F,Caucasian,33
37,SC-20770,Stewart Carmichael,M,Caucasian,34
38,DN-13690,Duane Noonan,M,African,35
39,JC-16105,Julie Creighton,M,Caucasian,36
40,CS-12400,Christopher Schild,M,Caucasian,37
41,PO-18865,Patrick O'Donnell,F,Caucasian,38
42,PG-18895,Paul Gonzalez,M,Caucasian,39
43,GM-14455,Gary Mitchum,M,Caucasian,15
44,JS-15685,Jim Sink,M,Caucasian,2
45,KB-16315,Karl Braun,M,Caucasian,40
46,RB-19705,Roger Barcio,M,Asian,41
47,PN-18775,Parhena Norris,F,Caucasian,30
48,KD-16345,Katherine Ducich,F,Caucasian,35
49,ER-13855,Elpida Rittenbach,M,Caucasian,42
50,RB-19465,Rick Bensley,F,Caucasian,27
51,GZ-14470,Gary Zandusky,M,Caucasian,39
52,LC-16870,Lena Cacioppo,M,Caucasian,43
53,JM-15250,Janet Martin,M,South Asian,44
54,PA-19060,Pete Armstrong,F,Caucasian,45
55,CV-12805,Cynthia Voltz,M,Caucasian,46
56,CL-12565,Clay Ludtke,M,Caucasian,47
57,RC-19960,Ryan Crowe,F,Caucasian,48
58,DK-13090,Dave Kipp,M,South Asian,6
59,GG-14650,Greg Guthrie,F,Caucasian,49
60,SC-20725,Steven Cartwright,M,African,50
61,AD-10180,Alan Dominguez,F,Caucasian,17
62,PF-19165,Philip Fox,M,Asian,51
63,TS-21610,Troy Staebel,M,Caucasian,52
64,LS-16975,Lindsay Shagiari,M,Caucasian,26
65,DW-13585,Dorothy Wardle,F,Caucasian,48
66,LC-16885,Lena Creighton,F,African,53
67,JD-15895,Jonathan Doherty,M,Caucasian,12
68,SH-19975,Sally Hughsby,M,Caucasian,35
69,SG-20080,Sandra Glassco,M,Caucasian,54
70,HA-14920,Helen Andreada,M,Caucasian,55
71,MG-17680,Maureen Gastineau,F,Caucasian,56
72,JE-16165,Justin Ellison,M,Caucasian,57
73,TW-21025,Tamara Willingham,M,Caucasian,58
74,SP-20650,Stephanie Phelps,M,Asian,59
75,NK-18490,Neil Knudson,M,Caucasian,60
76,DB-13060,Dave Brooks,F,Caucasian,61
77,NP-18670,Nora Paige,M,Caucasian,62
78,TT-21070,Ted Trevino,M,Caucasian,63
79,EM-13960,Eric Murdock,M,Caucasian,64
80,RD-19900,Ruben Dartt,M,Caucasian,65
81,MJ-17740,Max Jones,M,South Asian,61
82,BM-11140,Becky Martin,F,Caucasian,66
83,CS-12130,Chad Sievert,F,Caucasian,26
84,JB-15400,Jennifer Braxton,M,Caucasian,37
85,SJ-20500,Shirley Jackson,F,Caucasian,67
86,JE-15745,Joel Eaton,M,South Asian,56
87,JK-15640,Jim Kriz,M,Caucasian,30
88,DK-13150,David Kendrick,M,African,68
89,RM-19675,Robert Marley,F,Caucasian,69
90,SK-19990,Sally Knutson,M,Asian,70
91,FM-14290,Frank Merwin,M,Caucasian,4
92,AM-10360,Alice McCarthy,F,Caucasian,71
93,MP-17470,Mark Packer,M,Caucasian,46
94,MZ-17515,Mary Zewe,F,African,72
95,CB-12025,Cassandra Brandow,M,Caucasian,73
96,VM-21685,Valerie Mitchum,F,Caucasian,74
97,FH-14365,Fred Hopkins,M,Caucasian,75
98,MB-17305,Maria Bertelson,M,Caucasian,76
99,BS-11755,Bruce Stewart,M,Caucasian,77
100,LC-17140,Logan Currie,F,Caucasian,78
101,HK-14890,Heather Kirkland,F,Caucasian,79
102,LE-16810,Laurel Elliston,M,Asian,80
103,JH-15985,Joseph Holt,M,Caucasian,81
104,MS-17980,Michael Stewart,M,Caucasian,78
105,VW-21775,Victoria Wilson,M,Caucasian,82
106,JH-15910,Jonathan Howell,F,Caucasian,4
107,JB-15925,Joni Blumstein,M,Caucasian,83
108,DS-13180,David Smith,M,Caucasian,84
109,VD-21670,Valerie Dominguez,M,South Asian,85
110,EA-14035,Erin Ashbrook,M,Caucasian,44
111,CS-12400,Christopher Schild,F,Caucasian,86
112,DB-13120,David Bremer,M,Caucasian,87
113,KL-16645,Ken Lonsdale,M,Caucasian,27
114,DW-13480,Dianna Wilson,M,South Asian,88
115,LH-17155,Logan Haushalter,M,Caucasian,10
116,KC-16540,Kelly Collister,M,African,89
117,DL-13315,Delfina Latchford,F,Caucasian,24
118,DR-12880,Dan Reichenbach,F,Asian,37
119,CC-12670,Craig Carreira,M,Caucasian,30
120,Dl-13600,Dorris liebe,F,Caucasian,90
121,SB-20290,Sean Braxton,M,Caucasian,67
122,RC-19825,Roy Collins,M,African,27
123,AH-10210,Alan Hwang,M,Caucasian,91
124,CB-12535,Claudia Bergmann,F,Caucasian,92
125,PG-18895,Paul Gonzalez,M,Caucasian,93
126,CA-12310,Christine Abelman,M,Caucasian,94
127,KH-16690,Kristen Hastings,F,Caucasian,95
128,HA-14920,Helen Andreada,M,Caucasian,10
129,BB-10990,Barry Blumstein,F,Caucasian,96
130,AG-10495,Andrew Gjertsen,M,Asian,12
131,SC-20725,Steven Cartwright,F,Caucasian,33
132,JO-15280,Jas O'Carroll,M,Caucasian,26
133,TB-21520,Tracy Blumstein,M,Caucasian,41
134,AH-10195,Alan Haines,M,Caucasian,97
135,NZ-18565,Nick Zandusky,F,Caucasian,48
136,KL-16555,Kelly Lampkin,F,Caucasian,98
137,JD-15895,Jonathan Doherty,M,South Asian,99
138,JH-15910,Jonathan Howell,M,Caucasian,37
139,AS-10225,Alan Schoenberger,M,Caucasian,24
140,KB-16600,Ken Brennan,M,Caucasian,100
141,CR-12625,Corey Roper,F,Caucasian,101
142,SH-20395,Shahid Hopkins,M,South Asian,102
143,BP-11185,Ben Peterman,M,Caucasian,103
144,TS-21205,Thomas Seio,M,African,104
145,AG-10525,Andy Gerbode,M,Caucasian,105
146,SP-20860,Sung Pak,F,Asian,106
147,NM-18445,Nathan Mautz,M,Caucasian,24
148,FA-14230,Frank Atkinson,M,Caucasian,107
149,GK-14620,Grace Kelly,M,Caucasian,108
150,DJ-13510,Don Jones,M,African,109
151,PO-18850,Patrick O'Brill,M,Caucasian,106
152,JL-15850,John Lucas,F,Caucasian,64
153,DB-13615,Doug Bickford,F,Caucasian,63
154,AC-10420,Alyssa Crouse,M,Caucasian,35
155,KL-16645,Ken Lonsdale,F,Caucasian,110
156,CS-12130,Chad Sievert,M,Caucasian,111
157,CC-12550,Clay Cheatham,M,Caucasian,35
158,TD-20995,Tamara Dahlen,M,Asian,112
159,AB-10060,Adam Bellavance,F,Caucasian,30
160,JL-15505,Jeremy Lonsdale,M,Caucasian,46
161,HK-14890,Heather Kirkland,M,Caucasian,44
162,VB-21745,Victoria Brennan,F,Caucasian,113
163,KW-16435,Katrina Willman,M,Caucasian,30
164,JD-16060,Julia Dunbar,F,Caucasian,10
165,MK-17905,Michael Kennedy,M,South Asian,114
166,GT-14755,Guy Thornton,F,Caucasian,115
167,AG-10900,Arthur Gainer,M,Caucasian,116
168,MM-18280,Muhammed MacIntyre,M,Caucasian,117
169,AR-10405,Allen Rosenblatt,M,Caucasian,118
170,RA-19915,Russell Applegate,F,South Asian,15
171,AS-10285,Alejandro Savely,F,Caucasian,10
172,LA-16780,Laura Armstrong,M,African,100
173,DO-13435,Denny Ordway,M,Caucasian,119
174,DK-13225,Dean Katz,M,Asian,12
175,NG-18430,Nathan Gelder,M,Caucasian,94
176,MV-18190,Mike Vittorini,F,Caucasian,30
177,JG-15115,Jack Garza,M,Caucasian,120
178,BP-11095,Bart Pistole,M,African,121
179,VP-21730,Victor Preis,M,Caucasian,122
180,SS-20140,Saphhira Shifley,M,Caucasian,123
181,HP-14815,Harold Pawlan,F,Caucasian,31
182,AG-10675,Anna Gayman,M,Caucasian,67
183,LF-17185,Luke Foster,M,Caucasian,124
184,SP-20650,Stephanie Phelps,M,Caucasian,125
185,RF-19840,Roy Französisch,M,Caucasian,24
186,KH-16510,Keith Herrera,M,Asian,95
187,KC-16675,Kimberly Carter,F,Caucasian,60
188,CJ-12010,Caroline Jumper,F,Caucasian,126
189,PB-19150,Philip Brown,M,Caucasian,26
190,VB-21745,Victoria Brennan,F,Caucasian,127
191,SP-20860,Sung Pak,M,Caucasian,63
192,JE-15745,Joel Eaton,M,Caucasian,128
193,MP-17965,Michael Paige,M,South Asian,129
194,NF-18385,Natalie Fritzler,F,Caucasian,130
195,JM-15265,Janet Molinari,M,Caucasian,131
196,SD-20485,Shirley Daniels,M,Caucasian,132
197,KH-16630,Ken Heidel,F,Caucasian,66
198,RB-19795,Ross Baird,M,South Asian,133
199,DB-13060,Dave Brooks,F,Caucasian,112
200,MK-18160,Mike Kennedy,M,African,134
201,PO-19180,Philisse Overcash,F,Caucasian,37
202,BB-11545,Brenda Bowman,M,Asian,33
203,CV-12805,Cynthia Voltz,M,Caucasian,24
204,PK-19075,Pete Kriz,M,Caucasian,84
205,TB-21595,Troy Blackwell,F,Caucasian,135
206,RB-19360,Raymond Buch,F,African,136
207,EB-13705,Ed Braxton,M,Caucasian,76
208,KH-16630,Ken Heidel,M,Caucasian,137
209,SC-20095,Sanjit Chand,M,Caucasian,138
210,NF-18385,Natalie Fritzler,M,Caucasian,68
211,JH-15985,Joseph Holt,F,Caucasian,61
